telemetry_id,vessel_name,vessel_type,speed_knots,beaufort_scale,cargo_weight_tons,route_status,timestamp,fuel_consumption_mt
TEL-10983,MV Fleet_14,Bulk Carrier,16.13,6.0,22426,Underway,2026-06-03 22:11:43.203853,15.99
TEL-10984,MV Fleet_04,Container,16.46,1.0,19560,Underway,2026-06-03 22:26:43.203853,6.82
TEL-10985,MV Fleet_01,Tanker,20.97,5.0,39409,Moored,2026-06-03 22:41:43.203853,13.91
TEL-10986,MV Fleet_19,Tanker,19.77,1.0,20925,Underway,2026-06-03 22:56:43.203853,7.75
TEL-10987,MV Fleet_08,Container,18.62,7.0,27987,Underway,2026-06-03 23:11:43.203853,18.84
TEL-10988,MV Fleet_15,Container,9.81,8.0,15633,Underway,2026-06-03 23:26:43.203853,14.26
TEL-10989,MV Fleet_15,Bulk Carrier,19.53,8.0,41065,Underway,2026-06-03 23:41:43.203853,17.68
TEL-10990,MV Fleet_09,Container,16.0,7.0,35125,Underway,2026-06-03 23:56:43.203853,16.95
TEL-10991,MV Fleet_09,LNG Carrier,22.31,2.0,8996,Underway,2026-06-04 00:11:43.203853,7.92
TEL-10992,MV Fleet_10,LNG Carrier,22.72,5.0,5014,Anchored,2026-06-04 00:26:43.203853,14.08
TEL-10993,MV Fleet_20,Container,8.88,4.0,19895,Underway,2026-06-04 00:41:43.203853,6.43
TEL-10994,MV Fleet_09,LNG Carrier,21.13,5.0,6674,Moored,2026-06-04 00:56:43.203853,16.15
TEL-10995,MV Fleet_03,Container,8.6,9.0,42867,Anchored,2026-06-04 01:11:43.203853,14.21
TEL-10996,MV Fleet_20,Bulk Carrier,13.87,4.0,25001,Moored,2026-06-04 01:26:43.203853,6.84
TEL-10997,MV Fleet_11,LNG Carrier,16.68,8.0,22864,Underway,2026-06-04 01:41:43.203853,15.75
TEL-10998,MV Fleet_06,LNG Carrier,10.37,8.0,31321,Underway,2026-06-04 01:56:43.203853,13.43
TEL-10999,MV Fleet_02,Container,19.94,2.0,29082,Underway,2026-06-04 02:11:43.203853,9.38
TEL-11000,MV Fleet_07,LNG Carrier,8.13,6.0,45131,Underway,2026-06-04 02:26:43.203853,10.6
TEL-11001,MV Fleet_18,Tanker,10.7,5.0,10957,Underway,2026-06-04 02:41:43.203853,11.2
TEL-11002,MV Fleet_02,Bulk Carrier,17.29,2.0,9210,Anchored,2026-06-04 02:56:43.203853,7.62
TEL-11003,MV Fleet_17,Bulk Carrier,19.43,4.0,23069,Underway,2026-06-04 03:11:43.203853,11.33
TEL-11004,MV Fleet_11,LNG Carrier,22.67,7.0,39851,Underway,2026-06-04 03:26:43.203853,18.63
TEL-11005,MV Fleet_12,LNG Carrier,19.29,1.0,31865,Underway,2026-06-04 03:41:43.203853,7.99
TEL-11006,MV Fleet_19,Tanker,18.75,9.0,23070,Anchored,2026-06-04 03:56:43.203853,18.43
TEL-11007,MV Fleet_07,Tanker,14.31,1.0,9158,Moored,2026-06-04 04:11:43.203853,2.63
TEL-11008,MV Fleet_20,LNG Carrier,8.02,5.0,40550,Underway,2026-06-04 04:26:43.203853,8.14
TEL-11009,MV Fleet_06,LNG Carrier,9.92,7.0,25572,Underway,2026-06-04 04:41:43.203853,13.69
TEL-11010,MV Fleet_01,Tanker,16.55,8.0,9100,Moored,2026-06-04 04:56:43.203853,16.6
TEL-11011,MV Fleet_17,Container,18.8,2.0,49469,Underway,2026-06-04 05:11:43.203853,10.73
TEL-11012,MV Fleet_11,Tanker,14.68,4.0,20525,Underway,2026-06-04 05:26:43.203853,10.6
TEL-11013,MV Fleet_18,Container,19.69,2.0,23456,Underway,2026-06-04 05:41:43.203853,8.55
TEL-11014,MV Fleet_17,Bulk Carrier,16.35,4.0,5097,Underway,2026-06-04 05:56:43.203853,12.83
TEL-11015,MV Fleet_07,Bulk Carrier,9.19,6.0,14483,Underway,2026-06-04 06:11:43.203853,9.43
TEL-11016,MV Fleet_17,Tanker,11.07,6.0,41232,Anchored,2026-06-04 06:26:43.203853,8.87
TEL-11017,MV Fleet_20,Container,21.44,2.0,6787,Underway,2026-06-04 06:41:43.203853,10.85
TEL-11018,MV Fleet_09,Tanker,19.6,4.0,45531,Underway,2026-06-04 06:56:43.203853,11.12
TEL-11019,MV Fleet_17,Tanker,22.32,4.0,26788,Underway,2026-06-04 07:11:43.203853,13.76
TEL-11020,MV Fleet_20,Container,9.88,1.0,38451,Underway,2026-06-04 07:26:43.203853,1.86
TEL-11021,MV Fleet_08,Tanker,23.84,2.0,21092,Anchored,2026-06-04 07:41:43.203853,11.79
TEL-11022,MV Fleet_17,Bulk Carrier,11.35,3.0,6132,Anchored,2026-06-04 07:56:43.203853,7.71
TEL-11023,MV Fleet_07,LNG Carrier,8.19,5.0,17314,Underway,2026-06-04 08:11:43.203853,9.88
TEL-11024,MV Fleet_01,LNG Carrier,23.96,8.0,43645,Anchored,2026-06-04 08:26:43.203853,19.15
TEL-11025,MV Fleet_13,Tanker,12.5,6.0,27582,Underway,2026-06-04 08:41:43.203853,9.9
TEL-11026,MV Fleet_19,Container,18.69,3.0,32780,Underway,2026-06-04 08:56:43.203853,10.9
TEL-11027,MV Fleet_19,Container,10.83,6.0,37236,Anchored,2026-06-04 09:11:43.203853,10.73
TEL-11028,MV Fleet_17,Bulk Carrier,17.28,7.0,18068,Underway,2026-06-04 09:26:43.203853,14.75
TEL-11029,MV Fleet_13,Container,22.46,6.0,16057,Underway,2026-06-04 09:41:43.203853,16.76
TEL-11030,MV Fleet_16,Container,13.12,6.0,38622,Underway,2026-06-04 09:56:43.203853,11.93
TEL-11031,MV Fleet_08,Bulk Carrier,18.72,1.0,43506,Underway,2026-06-04 10:11:43.203853,7.88
TEL-11032,MV Fleet_19,Tanker,11.01,3.0,7026,Underway,2026-06-04 10:26:43.203853,7.59
TEL-11033,MV Fleet_18,LNG Carrier,18.0,7.0,31563,Underway,2026-06-04 10:41:43.203853,17.42
TEL-11034,MV Fleet_01,Bulk Carrier,13.38,4.0,43133,Anchored,2026-06-04 10:56:43.203853,8.9
TEL-11035,MV Fleet_14,Tanker,11.38,4.0,7550,Anchored,2026-06-04 11:11:43.203853,9.99
TEL-11036,MV Fleet_19,Bulk Carrier,13.01,7.0,35922,Anchored,2026-06-04 11:26:43.203853,14.52
TEL-11037,MV Fleet_15,Tanker,10.86,9.0,12089,Underway,2026-06-04 11:41:43.203853,17.12
TEL-11038,MV Fleet_18,Bulk Carrier,22.43,2.0,21623,Underway,2026-06-04 11:56:43.203853,9.26
TEL-11039,MV Fleet_02,Tanker,14.35,9.0,17043,Underway,2026-06-04 12:11:43.203853,17.05
TEL-11040,MV Fleet_17,Bulk Carrier,11.92,3.0,6036,Underway,2026-06-04 12:26:43.203853,10.05
TEL-11041,MV Fleet_18,Tanker,15.17,6.0,27516,Anchored,2026-06-04 12:41:43.203853,11.01
TEL-11042,MV Fleet_06,Bulk Carrier,13.13,4.0,26164,Moored,2026-06-04 12:56:43.203853,11.87
TEL-11043,MV Fleet_19,LNG Carrier,19.91,1.0,11122,Underway,2026-06-04 13:11:43.203853,10.58
TEL-11044,MV Fleet_04,LNG Carrier,23.54,9.0,36786,Underway,2026-06-04 13:26:43.203853,23.19
TEL-11045,MV Fleet_01,Container,15.01,6.0,21150,Underway,2026-06-04 13:41:43.203853,10.98
TEL-11046,MV Fleet_08,Tanker,21.78,8.0,27094,Underway,2026-06-04 13:56:43.203853,19.2
TEL-11047,MV Fleet_07,Bulk Carrier,17.05,2.0,16692,Underway,2026-06-04 14:11:43.203853,9.15
TEL-11048,MV Fleet_03,Tanker,10.52,7.0,17054,Moored,2026-06-04 14:26:43.203853,10.7
TEL-11049,MV Fleet_10,LNG Carrier,19.05,6.0,6767,Underway,2026-06-04 14:41:43.203853,16.01
TEL-11050,MV Fleet_10,Tanker,16.21,2.0,9708,Underway,2026-06-04 14:56:43.203853,7.72
TEL-11051,MV Fleet_19,Bulk Carrier,18.41,2.0,46121,Underway,2026-06-04 15:11:43.203853,7.8
TEL-11052,MV Fleet_14,Tanker,22.23,4.0,34292,Underway,2026-06-04 15:26:43.203853,12.12
TEL-11053,MV Fleet_02,Bulk Carrier,15.05,4.0,33082,Anchored,2026-06-04 15:41:43.203853,12.21
TEL-11054,MV Fleet_01,LNG Carrier,22.42,3.0,39024,Underway,2026-06-04 15:56:43.203853,13.57
TEL-11055,MV Fleet_18,LNG Carrier,20.01,,31734,Underway,2026-06-04 16:11:43.203853,18.27
TEL-11056,MV Fleet_07,LNG Carrier,15.82,7.0,47911,Underway,2026-06-04 16:26:43.203853,14.92
TEL-11057,MV Fleet_08,Container,17.65,2.0,28461,Underway,2026-06-04 16:41:43.203853,7.86
TEL-11058,MV Fleet_01,LNG Carrier,13.21,3.0,10351,Underway,2026-06-04 16:56:43.203853,5.01
TEL-11059,MV Fleet_03,Tanker,23.74,9.0,38517,Underway,2026-06-04 17:11:43.203853,24.15
TEL-11060,MV Fleet_08,Container,18.68,5.0,22092,Underway,2026-06-04 17:26:43.203853,13.63
TEL-11061,MV Fleet_15,LNG Carrier,8.7,2.0,44184,Underway,2026-06-04 17:41:43.203853,6.01
TEL-11062,MV Fleet_05,Tanker,13.23,3.0,44718,Underway,2026-06-04 17:56:43.203853,7.05
TEL-11063,MV Fleet_03,Tanker,17.97,8.0,30041,Underway,2026-06-04 18:11:43.203853,17.57
TEL-11064,MV Fleet_19,Tanker,8.9,4.0,30676,Underway,2026-06-04 18:26:43.203853,8.12
TEL-11065,MV Fleet_01,Bulk Carrier,8.38,2.0,39481,Underway,2026-06-04 18:41:43.203853,6.03
TEL-11066,MV Fleet_15,Container,15.2,2.0,17777,Moored,2026-06-04 18:56:43.203853,9.77
TEL-11067,MV Fleet_08,Tanker,13.32,6.0,29320,Underway,2026-06-04 19:11:43.203853,11.74
TEL-11068,MV Fleet_02,Bulk Carrier,15.01,8.0,13308,Underway,2026-06-04 19:26:43.203853,15.48
TEL-11069,MV Fleet_03,LNG Carrier,12.2,7.0,48441,Anchored,2026-06-04 19:41:43.203853,12.94
TEL-11070,MV Fleet_14,Tanker,10.64,4.0,20329,Underway,2026-06-04 19:56:43.203853,7.33
TEL-11071,MV Fleet_14,Bulk Carrier,19.03,2.0,18882,Underway,2026-06-04 20:11:43.203853,12.96
TEL-11072,MV Fleet_11,Tanker,16.23,9.0,9714,Underway,2026-06-04 20:26:43.203853,15.54
TEL-11073,MV Fleet_16,Container,11.2,,31050,Underway,2026-06-04 20:41:43.203853,12.46
TEL-11074,MV Fleet_04,Container,13.11,9.0,48432,Underway,2026-06-04 20:56:43.203853,17.63
TEL-11075,MV Fleet_20,LNG Carrier,17.47,5.0,20753,Moored,2026-06-04 21:11:43.203853,12.55
TEL-11076,MV Fleet_05,Tanker,9.16,7.0,34979,Underway,2026-06-04 21:26:43.203853,10.97
TEL-11077,MV Fleet_14,Bulk Carrier,10.36,5.0,19630,Anchored,2026-06-04 21:41:43.203853,9.57
TEL-11078,MV Fleet_16,LNG Carrier,9.17,2.0,22658,Underway,2026-06-04 21:56:43.203853,3.88
TEL-11079,MV Fleet_18,Tanker,21.0,6.0,8709,Underway,2026-06-04 22:11:43.203853,18.15
TEL-11080,MV Fleet_07,LNG Carrier,20.04,7.0,38106,Moored,2026-06-04 22:26:43.203853,17.98
TEL-11081,MV Fleet_10,Bulk Carrier,20.05,6.0,44529,Underway,2026-06-04 22:41:43.203853,18.05
TEL-11082,MV Fleet_07,LNG Carrier,19.46,3.0,42043,Underway,2026-06-04 22:56:43.203853,10.28
TEL-11083,MV Fleet_01,LNG Carrier,18.71,8.0,16491,Underway,2026-06-04 23:11:43.203853,18.03
TEL-11084,MV Fleet_19,LNG Carrier,15.63,,44530,Anchored,2026-06-04 23:26:43.203853,8.64
TEL-11085,MV Fleet_16,Tanker,18.28,5.0,13834,Underway,2026-06-04 23:41:43.203853,12.53
TEL-11086,MV Fleet_19,Bulk Carrier,8.61,9.0,19358,Underway,2026-06-04 23:56:43.203853,13.51
TEL-11087,MV Fleet_04,Container,17.94,5.0,14872,Underway,2026-06-05 00:11:43.203853,13.99
TEL-11088,MV Fleet_18,Tanker,20.45,7.0,26657,Underway,2026-06-05 00:26:43.203853,17.78
TEL-11089,MV Fleet_02,Container,16.01,7.0,29827,Moored,2026-06-05 00:41:43.203853,14.89
TEL-11090,MV Fleet_01,Container,13.72,5.0,13173,Underway,2026-06-05 00:56:43.203853,11.69
TEL-11091,MV Fleet_15,Tanker,12.44,2.0,21685,Underway,2026-06-05 01:11:43.203853,5.29
TEL-11092,MV Fleet_05,Tanker,18.28,5.0,16333,Underway,2026-06-05 01:26:43.203853,13.11
TEL-11093,MV Fleet_20,Bulk Carrier,19.08,7.0,16356,Underway,2026-06-05 01:41:43.203853,17.81
TEL-11094,MV Fleet_11,Bulk Carrier,21.94,7.0,45584,Underway,2026-06-05 01:56:43.203853,19.62
TEL-11095,MV Fleet_10,LNG Carrier,13.48,4.0,49917,Underway,2026-06-05 02:11:43.203853,11.62
TEL-11096,MV Fleet_02,Container,20.32,1.0,16344,Moored,2026-06-05 02:26:43.203853,6.53
TEL-11097,MV Fleet_03,Bulk Carrier,16.98,6.0,49619,Underway,2026-06-05 02:41:43.203853,12.49
TEL-11098,MV Fleet_12,LNG Carrier,22.13,3.0,44998,Underway,2026-06-05 02:56:43.203853,10.51
TEL-11099,MV Fleet_20,Bulk Carrier,16.44,5.0,46571,Underway,2026-06-05 03:11:43.203853,11.2
TEL-11100,MV Fleet_05,Tanker,16.28,4.0,20795,Underway,2026-06-05 03:26:43.203853,10.09
TEL-11101,MV Fleet_05,Bulk Carrier,17.25,2.0,34743,Underway,2026-06-05 03:41:43.203853,8.72
TEL-11102,MV Fleet_06,Container,19.99,7.0,6943,Underway,2026-06-05 03:56:43.203853,18.75
TEL-11103,MV Fleet_09,Bulk Carrier,23.44,5.0,29649,Moored,2026-06-05 04:11:43.203853,15.44
TEL-11104,MV Fleet_02,Container,9.18,7.0,26021,Underway,2026-06-05 04:26:43.203853,13.09
TEL-11105,MV Fleet_12,Tanker,8.85,9.0,13348,Underway,2026-06-05 04:41:43.203853,17.05
TEL-11106,MV Fleet_03,Container,23.0,4.0,16750,Underway,2026-06-05 04:56:43.203853,13.58
TEL-11107,MV Fleet_20,Bulk Carrier,16.48,5.0,10385,Underway,2026-06-05 05:11:43.203853,11.76
TEL-11108,MV Fleet_12,LNG Carrier,17.84,9.0,21639,Underway,2026-06-05 05:26:43.203853,18.96
TEL-11109,MV Fleet_17,Tanker,15.72,4.0,24494,Underway,2026-06-05 05:41:43.203853,7.81
TEL-11110,MV Fleet_10,Bulk Carrier,9.5,5.0,47011,Underway,2026-06-05 05:56:43.203853,10.1
TEL-11111,MV Fleet_14,Tanker,20.29,5.0,42800,Underway,2026-06-05 06:11:43.203853,12.37
TEL-11112,MV Fleet_17,Tanker,19.96,8.0,44029,Anchored,2026-06-05 06:26:43.203853,19.68
TEL-11113,MV Fleet_18,Bulk Carrier,12.99,4.0,23640,Underway,2026-06-05 06:41:43.203853,8.48
TEL-11114,MV Fleet_19,Bulk Carrier,12.9,4.0,40402,Underway,2026-06-05 06:56:43.203853,8.33
TEL-11115,MV Fleet_17,LNG Carrier,21.41,7.0,6891,Moored,2026-06-05 07:11:43.203853,16.35
TEL-11116,MV Fleet_14,Tanker,9.16,5.0,33259,Underway,2026-06-05 07:26:43.203853,10.04
TEL-11117,MV Fleet_09,Tanker,22.1,,33987,Underway,2026-06-05 07:41:43.203853,17.52
TEL-11118,MV Fleet_08,Bulk Carrier,12.11,6.0,15683,Underway,2026-06-05 07:56:43.203853,11.09
TEL-11119,MV Fleet_02,Container,17.49,6.0,14967,Underway,2026-06-05 08:11:43.203853,16.88
TEL-11120,MV Fleet_13,Bulk Carrier,22.98,5.0,17128,Underway,2026-06-05 08:26:43.203853,15.8
TEL-11121,MV Fleet_07,Tanker,18.85,5.0,45194,Underway,2026-06-05 08:41:43.203853,13.37
TEL-11122,MV Fleet_09,Bulk Carrier,14.63,9.0,39738,Underway,2026-06-05 08:56:43.203853,17.42
TEL-11123,MV Fleet_11,LNG Carrier,19.03,8.0,33295,Underway,2026-06-05 09:11:43.203853,16.97
TEL-11124,MV Fleet_14,Container,13.5,4.0,25337,Underway,2026-06-05 09:26:43.203853,7.85
TEL-11125,MV Fleet_04,Bulk Carrier,12.44,7.0,27202,Underway,2026-06-05 09:41:43.203853,12.85
TEL-11126,MV Fleet_13,LNG Carrier,23.95,8.0,11771,Anchored,2026-06-05 09:56:43.203853,21.8
TEL-11127,MV Fleet_02,Tanker,20.01,9.0,48452,Moored,2026-06-05 10:11:43.203853,17.24
TEL-11128,MV Fleet_05,Bulk Carrier,18.32,5.0,17857,Underway,2026-06-05 10:26:43.203853,10.86
TEL-11129,MV Fleet_11,Tanker,13.68,3.0,36301,Underway,2026-06-05 10:41:43.203853,7.0
TEL-11130,MV Fleet_06,LNG Carrier,8.79,4.0,36460,Underway,2026-06-05 10:56:43.203853,4.92
TEL-11131,MV Fleet_18,Tanker,8.5,6.0,26387,Anchored,2026-06-05 11:11:43.203853,8.4
TEL-11132,MV Fleet_10,LNG Carrier,16.87,5.0,14832,Anchored,2026-06-05 11:26:43.203853,13.59
TEL-11133,MV Fleet_04,LNG Carrier,20.19,9.0,17626,Underway,2026-06-05 11:41:43.203853,19.46
TEL-11134,MV Fleet_09,LNG Carrier,16.6,3.0,23485,Underway,2026-06-05 11:56:43.203853,7.98
TEL-11135,MV Fleet_06,Bulk Carrier,21.45,2.0,18423,Moored,2026-06-05 12:11:43.203853,10.55
TEL-11136,MV Fleet_02,Tanker,8.53,6.0,36403,Underway,2026-06-05 12:26:43.203853,10.7
TEL-11137,MV Fleet_17,Tanker,13.87,7.0,35623,Underway,2026-06-05 12:41:43.203853,15.74
TEL-11138,MV Fleet_05,Container,11.79,5.0,21802,Underway,2026-06-05 12:56:43.203853,7.48
TEL-11139,MV Fleet_06,Container,15.16,1.0,21333,Underway,2026-06-05 13:11:43.203853,4.18
TEL-11140,MV Fleet_12,Container,9.16,3.0,40120,Underway,2026-06-05 13:26:43.203853,5.33
TEL-11141,MV Fleet_10,Container,23.27,3.0,33085,Underway,2026-06-05 13:41:43.203853,13.51
TEL-11142,MV Fleet_06,Tanker,11.57,4.0,27159,Underway,2026-06-05 13:56:43.203853,12.91
TEL-11143,MV Fleet_08,LNG Carrier,22.76,6.0,29660,Anchored,2026-06-05 14:11:43.203853,17.99
TEL-11144,MV Fleet_02,LNG Carrier,14.81,5.0,39519,Underway,2026-06-05 14:26:43.203853,11.01
TEL-11145,MV Fleet_12,Bulk Carrier,23.77,1.0,33797,Underway,2026-06-05 14:41:43.203853,8.42
TEL-11146,MV Fleet_13,LNG Carrier,16.86,6.0,24041,Underway,2026-06-05 14:56:43.203853,11.86
TEL-11147,MV Fleet_07,Tanker,22.89,9.0,49935,Underway,2026-06-05 15:11:43.203853,23.05
TEL-11148,MV Fleet_10,Tanker,8.09,1.0,27507,Moored,2026-06-05 15:26:43.203853,1.71
TEL-11149,MV Fleet_13,Tanker,19.97,8.0,10524,Anchored,2026-06-05 15:41:43.203853,17.97
TEL-11150,MV Fleet_17,Bulk Carrier,22.45,8.0,23735,Underway,2026-06-05 15:56:43.203853,22.41
TEL-11151,MV Fleet_14,Container,10.24,3.0,32675,Underway,2026-06-05 16:11:43.203853,4.02
TEL-11152,MV Fleet_02,LNG Carrier,9.54,9.0,22673,Underway,2026-06-05 16:26:43.203853,15.76
TEL-11153,MV Fleet_11,Tanker,14.79,8.0,49083,Underway,2026-06-05 16:41:43.203853,14.54
TEL-11154,MV Fleet_01,Tanker,22.94,3.0,40470,Underway,2026-06-05 16:56:43.203853,15.18
TEL-11155,MV Fleet_19,Container,16.68,5.0,46603,Underway,2026-06-05 17:11:43.203853,10.88
TEL-11156,MV Fleet_04,Tanker,16.44,3.0,24289,Moored,2026-06-05 17:26:43.203853,10.17
TEL-11157,MV Fleet_19,LNG Carrier,10.26,5.0,36230,Underway,2026-06-05 17:41:43.203853,6.88
TEL-11158,MV Fleet_11,Bulk Carrier,8.01,9.0,19542,Underway,2026-06-05 17:56:43.203853,17.2
TEL-11159,MV Fleet_08,Tanker,20.96,4.0,40690,Underway,2026-06-05 18:11:43.203853,14.43
TEL-11160,MV Fleet_11,LNG Carrier,9.4,6.0,11654,Underway,2026-06-05 18:26:43.203853,9.97
TEL-11161,MV Fleet_04,Tanker,18.14,3.0,7021,Underway,2026-06-05 18:41:43.203853,10.61
TEL-11162,MV Fleet_17,Container,22.63,3.0,25008,Underway,2026-06-05 18:56:43.203853,13.97
TEL-11163,MV Fleet_07,Tanker,11.34,5.0,27728,Moored,2026-06-05 19:11:43.203853,10.21
TEL-11164,MV Fleet_08,Tanker,18.64,8.0,29162,Underway,2026-06-05 19:26:43.203853,17.2
TEL-11165,MV Fleet_03,Bulk Carrier,9.26,8.0,32446,Underway,2026-06-05 19:41:43.203853,13.61
TEL-11166,MV Fleet_02,Container,17.66,3.0,34979,Underway,2026-06-05 19:56:43.203853,9.94
TEL-11167,MV Fleet_15,Container,10.62,8.0,49078,Anchored,2026-06-05 20:11:43.203853,14.31
TEL-11168,MV Fleet_05,Bulk Carrier,19.78,8.0,9225,Underway,2026-06-05 20:26:43.203853,19.04
TEL-11169,MV Fleet_01,Tanker,12.82,3.0,14209,Underway,2026-06-05 20:41:43.203853,6.03
TEL-11170,MV Fleet_04,LNG Carrier,15.41,2.0,49660,Anchored,2026-06-05 20:56:43.203853,6.21
TEL-11171,MV Fleet_15,Container,17.59,2.0,20723,Underway,2026-06-05 21:11:43.203853,7.65
TEL-11172,MV Fleet_20,Container,10.74,9.0,8140,Moored,2026-06-05 21:26:43.203853,16.47
TEL-11173,MV Fleet_19,Tanker,19.87,7.0,16721,Underway,2026-06-05 21:41:43.203853,14.65
TEL-11174,MV Fleet_03,Tanker,12.84,6.0,7587,Underway,2026-06-05 21:56:43.203853,12.3
TEL-11175,MV Fleet_20,Container,18.6,7.0,48342,Underway,2026-06-05 22:11:43.203853,17.43
TEL-11176,MV Fleet_11,Tanker,10.53,8.0,44437,Underway,2026-06-05 22:26:43.203853,14.26
TEL-11177,MV Fleet_17,LNG Carrier,19.01,1.0,23989,Underway,2026-06-05 22:41:43.203853,7.59
TEL-11178,MV Fleet_13,Container,10.05,8.0,37726,Underway,2026-06-05 22:56:43.203853,13.57
TEL-11179,MV Fleet_11,LNG Carrier,14.81,3.0,10004,Underway,2026-06-05 23:11:43.203853,8.5
TEL-11180,MV Fleet_02,LNG Carrier,11.96,3.0,19301,Moored,2026-06-05 23:26:43.203853,6.56
TEL-11181,MV Fleet_09,Tanker,19.97,6.0,37679,Underway,2026-06-05 23:41:43.203853,15.25
TEL-11182,MV Fleet_02,LNG Carrier,12.19,4.0,33103,Underway,2026-06-05 23:56:43.203853,8.14
TEL-11183,MV Fleet_09,Tanker,22.11,4.0,46168,Underway,2026-06-06 00:11:43.203853,13.46
TEL-11184,MV Fleet_09,Bulk Carrier,22.27,4.0,12504,Underway,2026-06-06 00:26:43.203853,13.34
TEL-11185,MV Fleet_08,Tanker,11.14,9.0,41578,Underway,2026-06-06 00:41:43.203853,14.14
TEL-11186,MV Fleet_17,LNG Carrier,17.82,8.0,11080,Anchored,2026-06-06 00:56:43.203853,15.09
TEL-11187,MV Fleet_01,Bulk Carrier,9.4,3.0,12408,Underway,2026-06-06 01:11:43.203853,6.42
TEL-11188,MV Fleet_11,Tanker,14.26,1.0,9153,Underway,2026-06-06 01:26:43.203853,6.07
TEL-11189,MV Fleet_08,LNG Carrier,19.41,1.0,16055,Underway,2026-06-06 01:41:43.203853,10.02
TEL-11190,MV Fleet_10,Container,18.55,1.0,24760,Underway,2026-06-06 01:56:43.203853,8.88
TEL-11191,MV Fleet_07,Container,18.0,4.0,22752,Anchored,2026-06-06 02:11:43.203853,12.8
TEL-11192,MV Fleet_03,Tanker,12.52,6.0,29193,Underway,2026-06-06 02:26:43.203853,12.28
TEL-11193,MV Fleet_03,Tanker,14.05,4.0,8800,Underway,2026-06-06 02:41:43.203853,9.75
TEL-11194,MV Fleet_18,Container,9.65,3.0,6037,Underway,2026-06-06 02:56:43.203853,5.2
TEL-11195,MV Fleet_05,LNG Carrier,19.5,8.0,35054,Underway,2026-06-06 03:11:43.203853,16.89
TEL-11196,MV Fleet_12,LNG Carrier,16.06,8.0,31866,Underway,2026-06-06 03:26:43.203853,16.77
TEL-11197,MV Fleet_12,LNG Carrier,19.34,6.0,5992,Anchored,2026-06-06 03:41:43.203853,13.9
TEL-11198,MV Fleet_19,Tanker,11.98,9.0,28696,Underway,2026-06-06 03:56:43.203853,16.09
TEL-11199,MV Fleet_06,Bulk Carrier,13.19,1.0,42278,Underway,2026-06-06 04:11:43.203853,0.96
TEL-11200,MV Fleet_02,Bulk Carrier,13.35,8.0,38161,Underway,2026-06-06 04:26:43.203853,15.98
TEL-11201,MV Fleet_12,Bulk Carrier,8.41,6.0,13005,Underway,2026-06-06 04:41:43.203853,8.94
TEL-11202,MV Fleet_19,Bulk Carrier,13.46,1.0,34400,Underway,2026-06-06 04:56:43.203853,2.68
TEL-11203,MV Fleet_05,Bulk Carrier,20.85,4.0,21741,Underway,2026-06-06 05:11:43.203853,14.07
TEL-11204,MV Fleet_12,Tanker,22.36,5.0,22565,Underway,2026-06-06 05:26:43.203853,16.82
TEL-11205,MV Fleet_17,Tanker,16.29,7.0,44585,Underway,2026-06-06 05:41:43.203853,14.97
TEL-11206,MV Fleet_17,Bulk Carrier,15.29,8.0,39833,Anchored,2026-06-06 05:56:43.203853,15.05
TEL-11207,MV Fleet_10,Tanker,8.49,9.0,17094,Underway,2026-06-06 06:11:43.203853,16.1
TEL-11208,MV Fleet_17,Tanker,22.07,6.0,36280,Moored,2026-06-06 06:26:43.203853,15.55
TEL-11209,MV Fleet_15,Bulk Carrier,8.21,9.0,49378,Anchored,2026-06-06 06:41:43.203853,14.7
TEL-11210,MV Fleet_12,LNG Carrier,23.12,4.0,24513,Underway,2026-06-06 06:56:43.203853,16.36
TEL-11211,MV Fleet_16,Tanker,15.83,8.0,5154,Anchored,2026-06-06 07:11:43.203853,16.94
TEL-11212,MV Fleet_19,LNG Carrier,13.47,3.0,35262,Underway,2026-06-06 07:26:43.203853,7.76
TEL-11213,MV Fleet_08,Tanker,22.79,4.0,33134,Underway,2026-06-06 07:41:43.203853,13.72
TEL-11214,MV Fleet_17,Tanker,8.39,4.0,47514,Underway,2026-06-06 07:56:43.203853,7.55
TEL-11215,MV Fleet_05,Bulk Carrier,17.3,6.0,13678,Underway,2026-06-06 08:11:43.203853,14.49
TEL-11216,MV Fleet_16,Tanker,16.78,9.0,11294,Underway,2026-06-06 08:26:43.203853,16.64
TEL-11217,MV Fleet_06,Container,11.51,6.0,14574,Underway,2026-06-06 08:41:43.203853,13.36
TEL-11218,MV Fleet_08,Container,14.86,1.0,40183,Anchored,2026-06-06 08:56:43.203853,4.74
TEL-11219,MV Fleet_18,Bulk Carrier,18.44,5.0,6070,Underway,2026-06-06 09:11:43.203853,12.87
TEL-11220,MV Fleet_12,LNG Carrier,19.63,9.0,23638,Underway,2026-06-06 09:26:43.203853,21.03
TEL-11221,MV Fleet_15,LNG Carrier,8.01,5.0,31082,Underway,2026-06-06 09:41:43.203853,8.66
TEL-11222,MV Fleet_09,LNG Carrier,22.99,6.0,21306,Underway,2026-06-06 09:56:43.203853,18.58
TEL-11223,MV Fleet_13,Container,10.63,3.0,47835,Underway,2026-06-06 10:11:43.203853,6.65
TEL-11224,MV Fleet_15,LNG Carrier,11.74,8.0,12807,Moored,2026-06-06 10:26:43.203853,14.78
TEL-11225,MV Fleet_10,LNG Carrier,12.22,4.0,28224,Underway,2026-06-06 10:41:43.203853,9.14
